match_id,league_id,radiant_win,duration,radiant_team,dire_team,radiant_player_1,radiant_hero_1,radiant_player_2,radiant_hero_2,radiant_player_3,radiant_hero_3,radiant_player_4,radiant_hero_4,radiant_player_5,radiant_hero_5,dire_player_1,dire_hero_1,dire_player_2,dire_hero_2,dire_player_3,dire_hero_3,dire_player_4,dire_hero_4,dire_player_5,dire_hero_5
8885195787,19785,False,1924,_PowerRangers,GamerLegion,naive-,19,Nicky`Cool,98,Till The End,3,alberkaaa,128,Immersion,51,Ghost,11,RCY,107,Bignum,119,Speeed,112,Fayde,77
8880797450,19943,False,2181,牧卫队,坤队,1 or carry me,5,飒,126,张牧之,60,两豪杰四张狂,21,卡尔不会切技能,123,犟人精神,27,obito,74,小猪乔治,29,宇宙暖男万里,18,那我走,110
8880668008,19943,True,3173,火车王,Unknown,张牧之,29,飒,13,1 or carry me,5,两豪杰四张狂,35,卡尔不会切技能,123,IcedAmericano,6,xia2,100,FoRsUrE,71,吸到尽头就是歪,74,凉面,16
8879217456,19943,False,1471,Unknown,牧卫队,立花,120,kkkks丶,6,Elv,20,山西刀枪炮孙志欣,100,DY-yaosese,128,张牧之,75,Secret,98,少年游（King思）,26,xixi,51,人道仙,12
8876894624,19885,False,2439,Cuba,Canada,all in,56,Senku,13,Lie,155,xxg,26,KiYoSh1,110,天鸽,21,zorryimtrash,107,Bonk check,2,Aui_2000,51,Fly,90
8876860926,19885,False,1925,Canada,Cuba,天鸽,69,zorryimtrash,13,Bonk check,155,Aui_2000,5,Fly,90,all in,11,Senku,17,Lie,108,xxg,101,KiYoSh1,100
8876860563,19885,True,2227,Ecuador,Bolivia ,s-,121,Kindness,72,SebaS,28,Sebs-,100,yungxrist,78,Perfect Is Shit,3,fYoung年轻的神~,6,頑張って,96,Michael~,101,Ocarina,126
8876821060,19885,False,2079,Bolivia ,Ecuador,Ocarina,107,頑張って,2,Michael~,86,fYoung年轻的神~,21,Perfect Is Shit,100,s-,27,Sebs-,3,SebaS,114,Kindness,11,yungxrist,78
8876816332,19885,False,2577,Cuba,Canada,all in,109,Senku,59,Lie,2,xxg,51,KiYoSh1,31,天鸽,53,zorryimtrash,13,Bonk check,55,Aui_2000,84,Fly,131
8876753073,19885,False,3367,Ecuador,Bolivia ,Sebs-,85,Kindness,36,SebaS,107,s-,119,yungxrist,77,Perfect Is Shit,83,fYoung年轻的神~,21,頑張って,78,Michael~,121,Ocarina,106
8876713570,19885,False,2916,Mexico,Cuba,^^,11,eace,96,Yeipi,51,lundd,126,N1ne,86,all in,6,Senku,90,Lie,108,xxg,79,KiYoSh1,84
8876640180,19885,True,2161,Cuba,Mexico,all in,48,Senku,90,Lie,2,xxg,101,KiYoSh1,83,N1ne,123,Yeipi,112,^^,80,lundd,17,eace,96
8876624227,19885,True,2389,Ecuador,Argentina,Sebs-,83,s-,21,SebaS,107,Kindness,6,yungxrist,96,wij,3,l'exaltation,26,Hermit,55,Fantassy,23,777,72
8876607269,19885,False,3202,Team France,Great Britain,Zep,128,yopoman,121,CARLOS 2011,40,attack hero,1,mort-vivant,2,龍,36,adz,120,TeaGuvnor,3,RCE,105,DontBACunt,69
8876602958,19885,True,1926,Team South Africa,Team Madagascar,soup,65,Beastmaster,107,Castaway,14,ik,31,i miss the old kanye,47,Zhode-,56,彡Maiko.[FTTKK].彡,25,Sid,100,Ccb,108,MEL4NCOLIA,86
8876599600,19885,False,3479,Serbia,GREECE,MiLAN,14,MikSa`,11,tensa zangetsu,29,qqqrwwqreewrqwer,17,@LeBronDota,128,Focus,70,SsaSparTaN.,112,천사,106,dEsire,86,Skylark,96
